"Comment","Designator","Footprint","LCSC Part #"
"100n","C1","C_0603_1608Metric","C14663"
"1u","C2","C_0603_1608Metric","C15849"
"Conn_01x03_Male","J1,J2","JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal","C225208"
"100","R1,R2,R3,R4,R5,R6,R7,R8,R9,R10","R_0603","C22775"
"TM3130","U1","SOIC-16_3.9x9.9mm_Pitch1.27mm","C94298"
